,City,Lat,Long,Max temp,Humidity,Wind Speed,Cloudiness,Country,Date
0,nikolskoye,59.7035,30.7861,45.0,70,8.95,0,RU,1616604505
1,port alfred,-33.5906,26.891,71.62,72,19.6,100,ZA,1616604456
2,grand gaube,-20.0064,57.6608,80.01,82,5.57,69,MU,1616604812
3,ushuaia,-54.8,-68.3,42.8,81,42.57,75,AR,1616604488
4,bluff,-46.6,168.3333,46.99,95,3.0,14,NZ,1616604735
5,kapit,2.0167,112.9333,73.45,99,1.77,99,MY,1616604816
6,atuona,-9.8,-139.0333,80.62,70,18.3,100,PF,1616604520
7,port elizabeth,-33.918,25.5701,69.8,78,14.97,20,ZA,1616604772
8,jinka,5.65,36.65,73.26,24,1.12,28,ET,1616604820
9,los llanos de aridane,28.6585,-17.9182,69.8,73,11.5,20,ES,1616604821
10,noshiro,40.2039,140.0242,44.89,78,5.26,100,JP,1616604822
11,vila praia de ancora,41.811,-8.8526,59.0,58,10.36,20,PT,1616604824
12,constitucion,-35.3333,-72.4167,64.58,64,16.4,70,CL,1616604825
13,eureka,40.8021,-124.1637,48.0,93,7.45,40,US,1616604826
14,albany,42.6001,-73.9662,53.01,70,3.0,100,US,1616604438
15,yar-sale,66.8333,70.8333,2.44,99,8.16,33,RU,1616604829
16,sitka,57.0531,-135.33,39.2,81,20.71,90,US,1616604569
17,inuvik,68.3499,-133.7218,-0.4,65,5.75,98,CA,1616604746
18,pevek,69.7008,170.3133,-16.62,95,9.48,100,RU,1616604583
19,brigantine,39.4101,-74.3646,57.99,88,10.36,90,US,1616604833
20,avarua,-21.2078,-159.775,80.6,89,9.22,40,CK,1616604497
21,rikitea,-23.1203,-134.9692,78.94,68,13.91,9,PF,1616604459
22,new norfolk,-42.7826,147.0587,62.01,78,3.8,100,AU,1616604650
23,hobart,-42.8794,147.3294,62.01,94,13.8,40,AU,1616604317
24,manado,1.487,124.8455,77.0,94,2.3,20,ID,1616604839
25,inirida,3.8653,-67.9239,84.22,65,0.94,86,CO,1616604840
26,tukrah,32.5341,20.5791,55.54,60,20.15,100,LY,1616604842
27,hithadhoo,-0.6,73.0833,83.71,70,11.12,81,MV,1616604558
28,olocuilta,13.5697,-89.1172,89.6,48,8.05,40,SV,1616604844
29,sri aman,1.2376,111.4621,77.0,94,1.41,100,MY,1616604846
30,ribeira grande,38.5167,-28.7,62.6,55,10.36,20,PT,1616604416
31,yellowknife,62.456,-114.3525,-4.0,59,11.5,1,CA,1616604556
32,narsaq,60.9167,-46.05,23.0,42,2.3,75,GL,1616604849
33,novoagansk,61.9449,76.6625,22.32,95,8.23,99,RU,1616604851
34,east london,-33.0153,27.9116,69.8,78,10.36,75,ZA,1616604652
35,qaanaaq,77.484,-69.3632,-17.3,59,3.74,64,GL,1616604744
36,arraial do cabo,-22.9661,-42.0278,91.4,58,12.66,0,BR,1616604555
37,hermanus,-34.4187,19.2345,73.0,73,7.0,0,ZA,1616604565
38,busselton,-33.65,115.3333,51.01,93,8.68,48,AU,1616604442
39,peniche,39.3558,-9.3811,59.0,61,15.01,37,PT,1616604665
40,bredasdorp,-34.5322,20.0403,71.6,68,17.27,46,ZA,1616604637
41,jamestown,42.097,-79.2353,62.01,77,16.02,75,US,1616604306
42,lebu,-37.6167,-73.65,58.98,63,17.74,12,CL,1616604587
43,xam nua,20.4197,104.0439,59.72,97,3.29,31,LA,1616604862
44,sao filipe,14.8961,-24.4956,72.75,71,15.68,0,CV,1616604863
45,tuktoyaktuk,69.4541,-133.0374,-11.2,77,8.05,40,CA,1616604529
46,kavieng,-2.5744,150.7967,79.05,85,13.22,100,PG,1616604431
47,provideniya,64.3833,-173.3,2.93,99,7.11,96,RU,1616604867
48,adrar,20.5022,-10.0711,92.3,8,10.2,3,MR,1616604869
49,springfield,37.2153,-93.2982,52.0,76,7.0,73,US,1616604870
50,punta arenas,-53.15,-70.9167,48.2,61,32.21,40,CL,1616604366
51,mataura,-46.1927,168.8643,46.99,95,1.99,62,NZ,1616604435
52,saint-philippe,-21.3585,55.7679,80.6,78,2.3,0,RE,1616604653
53,alihe,50.5667,123.7167,22.05,96,0.74,66,CN,1616604875
54,gamba,-2.65,10.0,76.55,87,12.37,98,GA,1616604856
55,champerico,14.3,-91.9167,82.4,78,4.61,75,GT,1616604630
56,miri,4.4148,114.0089,78.8,94,3.44,40,MY,1616604878
57,talnakh,69.4865,88.3972,14.63,92,10.25,100,RU,1616604880
58,airai,-8.9266,125.4092,60.33,94,1.05,79,TL,1616604881
59,sur,22.5667,59.5289,78.19,62,14.38,0,OM,1616604451
60,atar,20.5169,-13.0499,98.17,8,6.46,7,MR,1616604383
61,canutama,-6.5339,-64.3831,80.33,78,3.94,97,BR,1616604847
62,manono,-7.3,27.4167,77.47,73,5.1,59,CD,1616604886
63,clyde river,70.4692,-68.5914,-9.4,77,21.85,75,CA,1616604632
64,grindavik,63.8424,-22.4338,35.6,80,24.16,75,IS,1616604888
65,mayo,38.8876,-76.5119,57.0,100,3.44,90,US,1616604890
66,meulaboh,4.1363,96.1285,74.23,92,4.88,100,ID,1616604891
67,sierra vista,31.5545,-110.3037,46.99,65,17.27,75,US,1616604833
68,vaini,-21.2,-175.2,75.2,94,5.75,90,TO,1616604765
69,tashtyp,52.7939,89.8983,27.27,78,16.89,92,RU,1616604895
70,avera,33.194,-82.5271,69.8,78,3.44,90,US,1616604459
71,okato,-39.2,173.8833,52.0,78,5.99,3,NZ,1616604608
72,tabory,58.5198,64.5495,28.24,94,10.36,100,RU,1616604898
73,hilo,19.7297,-155.09,68.0,83,4.61,90,US,1616604417
74,chokurdakh,70.6333,147.9167,-20.92,99,6.6,100,RU,1616604659
75,bengkulu,-3.8004,102.2655,76.59,86,4.9,100,ID,1616604902
76,chapais,49.7834,-74.8492,42.8,42,11.5,20,CA,1616604904
77,carnarvon,-24.8667,113.6333,75.2,69,16.11,12,AU,1616604905
78,geraldton,-28.7667,114.6,64.4,63,11.5,0,AU,1616604580
79,padang,-0.9492,100.3543,77.0,94,3.44,75,ID,1616604908
80,cape town,-33.9258,18.4232,75.99,64,11.5,0,ZA,1616604229
81,muros,42.7762,-9.0603,63.0,52,8.1,95,ES,1616604910
82,upernavik,72.7868,-56.1549,-13.2,86,3.65,100,GL,1616604912
83,ketchikan,55.3422,-131.6461,39.2,100,4.61,90,US,1616604913
84,ibipeba,-11.6408,-42.0111,91.78,23,10.27,2,BR,1616604914
85,puerto ayora,-0.7393,-90.3518,82.99,94,4.61,75,EC,1616604527
86,yulara,-25.2406,130.9889,71.6,56,8.05,2,AU,1616604917
87,kodiak,57.79,-152.4072,37.4,52,3.44,20,US,1616604759
88,buraydah,26.326,43.975,91.4,21,6.91,0,SA,1616604919
89,makakilo city,21.3469,-158.0858,75.2,78,13.8,75,US,1616604921
90,ancud,-41.8697,-73.8203,57.2,51,16.11,40,CL,1616604922
91,iqaluit,63.7506,-68.5145,-16.01,58,5.75,40,CA,1616604769
92,coihaique,-45.5752,-72.0662,55.4,47,6.91,20,CL,1616604924
93,kudahuvadhoo,2.6708,72.8944,81.01,75,3.94,100,MV,1616604647
94,khatanga,71.9667,102.5,-3.62,91,5.32,100,RU,1616604644
95,leningradskiy,69.3833,178.4167,-5.13,97,11.18,100,RU,1616604497
96,silifke,36.3778,33.9344,54.82,63,18.14,49,TR,1616604929
97,salmas,38.1973,44.7653,53.6,47,9.22,20,IR,1616604918
98,shizunai,42.3339,142.3669,38.44,97,6.98,99,JP,1616604932
99,kalmunai,7.4167,81.8167,79.77,82,5.82,82,LK,1616604933
100,aklavik,68.2191,-135.0107,-0.4,65,5.75,100,CA,1616604934
101,vao,-22.6667,167.4833,75.63,66,13.78,58,NC,1616604936
102,saskylakh,71.9167,114.0833,-10.46,91,6.93,100,RU,1616604937
103,vologda,59.2187,39.8886,34.56,98,12.08,100,RU,1616604905
104,victoria,22.2855,114.1577,71.01,76,2.53,0,HK,1616604675
105,rush,53.5223,-6.0931,54.0,62,13.8,75,IE,1616604940
106,namatanai,-3.6667,152.4333,78.82,82,3.36,100,PG,1616604942
107,lianran,24.9227,102.485,59.0,58,11.18,0,CN,1616604943
108,yabrud,33.9674,36.6574,50.0,62,29.93,75,SY,1616604944
109,zhigansk,66.7697,123.3711,-28.12,100,1.95,53,RU,1616604946
110,conway,35.0887,-92.4421,64.4,52,4.97,1,US,1616604947
111,ponta do sol,32.6667,-17.1,64.4,72,13.8,40,PT,1616604585
112,mao,39.8885,4.2658,59.0,77,5.75,20,ES,1616604950
113,ornskoldsvik,63.2909,18.7153,48.2,40,13.8,78,SE,1616604951
114,kaitangata,-46.2817,169.8464,50.45,92,4.38,89,NZ,1616604447
115,santona,43.4439,-3.4576,55.4,82,6.91,75,ES,1616604954
116,warren,39.4334,-84.1666,68.0,68,12.66,40,US,1616604938
117,vagur,61.4732,-6.8119,43.02,70,14.99,97,FO,1616604956
118,bambous virieux,-20.3428,57.7575,80.01,89,3.44,40,MU,1616604957
119,tiksi,71.6872,128.8694,-26.37,99,4.68,98,RU,1616604959
120,zaterechnyy,44.7931,45.2097,39.29,90,20.31,100,RU,1616604960
121,lebyazhye,55.2689,66.4947,27.84,92,13.8,88,RU,1616604961
122,kamaishi,39.2667,141.8833,47.62,85,4.99,99,JP,1616604963
123,nome,64.5011,-165.4064,28.4,86,18.41,90,US,1616604964
124,ilulissat,69.2167,-51.1,-4.0,71,11.5,75,GL,1616604966
125,kibala,9.1104,18.3463,93.58,31,1.25,78,TD,1616604967
126,saldanha,-33.0117,17.9442,87.8,29,10.36,16,ZA,1616604455
127,noyabrsk,63.1994,75.4507,12.99,96,8.28,83,RU,1616604969
128,oxapampa,-10.5775,-75.4017,63.45,87,1.01,97,PE,1616604740
129,murray bridge,-35.1167,139.2667,57.0,87,4.0,40,AU,1616604972
130,moron,-34.6534,-58.6198,81.0,61,5.99,2,AR,1616604973
131,sakakah,29.9697,40.2064,73.4,28,11.5,5,SA,1616604974
132,marzuq,14.4,46.4667,70.93,24,8.23,5,YE,1616604976
133,keuruu,62.2667,24.7,39.2,81,9.22,90,FI,1616604977
134,mahebourg,-20.4081,57.7,78.8,89,3.44,40,MU,1616604379
